order_id,order_purchase_timestamp,customer_city,customer_state,product_price,shipping_cost,product_category_name,total_item_value
00010242fe8c5a6d1ba2dd792cb16214,2017-09-13 08:59:02+00:00,campos dos goytacazes,RJ,58.9,13.29,cool_stuff,72.19
00018f77f2f0320c557190d7a144bdd3,2017-04-26 10:53:06+00:00,santa fe do sul,SP,239.9,19.93,pet_shop,259.83
000229ec398224ef6ca0657da4fc703e,2018-01-14 14:33:31+00:00,para de minas,MG,199.0,17.87,moveis_decoracao,216.87
00024acbcdf0a6daa1e931b038114c75,2018-08-08 10:00:35+00:00,atibaia,SP,12.99,12.79,perfumaria,25.78
00042b26cf59d7ce69dfabb4e55b4fd9,2017-02-04 13:57:51+00:00,varzea paulista,SP,199.9,18.14,ferramentas_jardim,218.04000000000002
00048cc3ae777c65dbb7d2a0634bc1ea,2017-05-15 21:42:34+00:00,uberaba,MG,21.9,12.69,utilidades_domesticas,34.589999999999996
00054e8431b9d7675808bcb819fb4a32,2017-12-10 11:53:48+00:00,guararapes,SP,19.9,11.85,telefonia,31.75
000576fe39319847cbb9d288c5617fa6,2018-07-04 12:08:27+00:00,praia grande,SP,810.0,70.75,ferramentas_jardim,880.75
0005a1a1728c9d785b8e2b08b904576c,2018-03-19 18:40:33+00:00,santos,SP,145.95,11.65,beleza_saude,157.6
0005f50442cb953dcd1d21e1fb923495,2018-07-02 13:59:39+00:00,jandira,SP,53.99,11.4,livros_tecnicos,65.39
00061f2a7bc09da83e415a52dc8a4af1,2018-03-24 22:16:10+00:00,piracicaba,SP,59.99,8.88,beleza_saude,68.87
00063b381e2406b52ad429470734ebd5,2018-07-27 17:21:27+00:00,monte alto,SP,45.0,12.98,fashion_bolsas_e_acessorios,57.980000000000004
0006ec9db01a64e59a68b2c340bf65a7,2018-07-24 17:04:17+00:00,rio de janeiro,RJ,74.0,23.32,cama_mesa_banho,97.32
0008288aa423d2a3f00fcb17cd7d8719,2018-02-13 22:10:21+00:00,jandira,SP,49.9,13.37,ferramentas_jardim,63.269999999999996
0009792311464db532ff765bf7b182ae,2018-08-14 20:43:09+00:00,alfenas,MG,99.9,27.65,esporte_lazer,127.55000000000001
0009c9a17f916a706d71784483a5d643,2018-04-25 09:10:41+00:00,campinas,SP,639.0,11.34,consoles_games,650.34
000aed2e25dbad2f9ddb70584c5a2ded,2018-05-11 20:33:38+00:00,santa barbara d'oeste,SP,144.0,8.77,perfumaria,152.77
000c3e6612759851cc3cbb4b83257986,2017-08-12 10:08:57+00:00,jundiai,SP,99.0,13.71,esporte_lazer,112.71000000000001
