order_id,order_purchase_timestamp,customer_city,customer_state,product_price,shipping_cost,product_category_name
00010242fe8c5a6d1ba2dd792cb16214,2017-09-13 08:59:02+00,campos dos goytacazes,RJ,58.9,13.29,cool_stuff
00018f77f2f0320c557190d7a144bdd3,2017-04-26 10:53:06+00,santa fe do sul,SP,239.9,19.93,pet_shop
000229ec398224ef6ca0657da4fc703e,2018-01-14 14:33:31+00,para de minas,MG,199,17.87,moveis_decoracao
00024acbcdf0a6daa1e931b038114c75,2018-08-08 10:00:35+00,atibaia,SP,12.99,12.79,perfumaria
00042b26cf59d7ce69dfabb4e55b4fd9,2017-02-04 13:57:51+00,varzea paulista,SP,199.9,18.14,ferramentas_jardim
00048cc3ae777c65dbb7d2a0634bc1ea,2017-05-15 21:42:34+00,uberaba,MG,21.9,12.69,utilidades_domesticas
00054e8431b9d7675808bcb819fb4a32,2017-12-10 11:53:48+00,guararapes,SP,19.9,11.85,telefonia
000576fe39319847cbb9d288c5617fa6,2018-07-04 12:08:27+00,praia grande,SP,810,70.75,ferramentas_jardim
0005a1a1728c9d785b8e2b08b904576c,2018-03-19 18:40:33+00,santos,SP,145.95,11.65,beleza_saude
0005f50442cb953dcd1d21e1fb923495,2018-07-02 13:59:39+00,jandira,SP,53.99,11.4,livros_tecnicos
00061f2a7bc09da83e415a52dc8a4af1,2018-03-24 22:16:10+00,piracicaba,SP,59.99,8.88,beleza_saude
00063b381e2406b52ad429470734ebd5,2018-07-27 17:21:27+00,monte alto,SP,45,12.98,fashion_bolsas_e_acessorios
0006ec9db01a64e59a68b2c340bf65a7,2018-07-24 17:04:17+00,rio de janeiro,RJ,74,23.32,cama_mesa_banho
0008288aa423d2a3f00fcb17cd7d8719,2018-02-13 22:10:21+00,jandira,SP,49.9,13.37,ferramentas_jardim
0008288aa423d2a3f00fcb17cd7d8719,2018-02-13 22:10:21+00,jandira,SP,49.9,13.37,ferramentas_jardim
0009792311464db532ff765bf7b182ae,2018-08-14 20:43:09+00,alfenas,MG,99.9,27.65,esporte_lazer
0009c9a17f916a706d71784483a5d643,2018-04-25 09:10:41+00,campinas,SP,639,11.34,consoles_games
000aed2e25dbad2f9ddb70584c5a2ded,2018-05-11 20:33:38+00,santa barbara d'oeste,SP,144,8.77,perfumaria
000c3e6612759851cc3cbb4b83257986,2017-08-12 10:08:57+00,jundiai,SP,99,13.71,esporte_lazer
000e562887b1f2006d75e0be9558292e,2018-02-22 11:54:42+00,cubatao,SP,25,16.11,cool_stuff
000e63d38ae8c00bbcb5a30573b99628,2018-03-23 19:48:26+00,sao paulo,SP,47.9,8.88,cama_mesa_banho
000e906b789b55f64edcb1f84030f90d,2017-11-21 18:54:23+00,santa cruz do rio pardo,SP,21.99,11.85,telefonia
000f25f4d72195062c040b12dce9a18a,2018-03-07 10:33:13+00,volta redonda,RJ,119.99,44.4,moveis_escritorio
001021efaa8636c29475e7734483457d,2018-02-27 09:27:14+00,ivaipora,PR,49,15.1,fashion_bolsas_e_acessorios
0010b2e5201cc5f1ae7e9c6cc8f5bd00,2017-09-11 17:39:33+00,rio de janeiro,RJ,48.9,16.6,cool_stuff
00119ff934e539cf26f92b9ef0cdfed8,2017-08-06 00:42:49+00,nova iguacu,RJ,219.9,16.98,esporte_lazer
0011d82c4b53e22e84023405fb467e57,2018-01-16 21:43:23+00,sao paulo,SP,289,26.33,malas_acessorios
00125cb692d04887809806618a2a145f,2017-03-23 12:21:17+00,anapolis,GO,109.9,25.51,moveis_decoracao
00130c0eee84a3d909e75bc08c5c3ca1,2018-06-11 21:17:00+00,sao bernardo do campo,SP,27.9,7.94,alimentos
0013503b13da1eac686219390b7d641b,2017-12-05 23:40:59+00,osasco,SP,119.9,17.32,moveis_decoracao
00137e170939bba5a3134e2386413108,2017-11-24 16:50:38+00,rio de janeiro,RJ,397,24.65,agro_industria_e_comercio
001427c0ec99cf8af737bd88e92fd444,2018-04-07 18:51:22+00,ituiutaba,MG,59.9,23.35,moveis_decoracao
